product_title,product_image,pack_size,price_per_unit,price
Westacre Cream Cheese Block 250g,https://www.aldi.com.au/fileadmin/_processed_/8/2/csm_ALN3662_1x1_SSV-NOV-B1_228x628_16_b7a7e637de.jpg,250g,$7.96 per kg,1.99
Farmdale Evaporated Milk 384ml/385ml,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_ALN3662_1x1_SSV-NOV-B1_228x628_17_f9bd7df289.jpg,384ml,$2.58 - $2.57 per litre,0.99
Farmdale Condensed Milk 397g,https://www.aldi.com.au/fileadmin/_processed_/c/b/csm_ALN3662_1x1_SSV-NOV-B1_228x628_18_ba22fcee3d.jpg,397g,25c per 100g,0.99
Deli Originals Fresh Topped Hommus 200g – Assorted Varieties,https://www.aldi.com.au/fileadmin/_processed_/8/b/csm_ALN3662_1x1_SSV-NOV-B1_228x628_19_5d8be2bb8f.jpg,ea,$1.00 per 100g,1.99
Deli Originals Fresh Multipack Hommus 3 x 65g,https://www.aldi.com.au/fileadmin/_processed_/a/a/csm_ALN3662_1x1_SSV-NOV-B1_228x628_20_7e30a770b7.jpg,3pk,76c per 100g,1.49
Snackers Market Dip and Crackers 65g – Hommus or Beetroot Hommus,https://www.aldi.com.au/fileadmin/_processed_/8/0/csm_ALN3662_1x1_SSV-NOV-B1_228x628_21_775151a48e.jpg,ea,$1.52 per 100g,0.99
Emporium Selection Bocconcini 200g,https://www.aldi.com.au/fileadmin/_processed_/3/5/csm_ALN3662_1x1_SSV-NOV-B1_228x628_22_e2dfce5ace.jpg,200g,$14.95 per kg,2.99
Pick’d Orange Juice With Pulp 2L,https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_ALN3662_1x1_SSV-NOV-B1_228x628_23_b5f2e37304.jpg,2L,$2.00 per litre,3.99
Pick’d Fruitism Fruit Smoothie 1L – Assorted,https://www.aldi.com.au/fileadmin/_processed_/1/c/csm_ALN3662_1x1_SSV-NOV-B1_228x628_24_5913839e1d.jpg,ea,$3.49 per litre,3.49
Market Fare Corn Cobs 1kg,https://www.aldi.com.au/fileadmin/_processed_/9/4/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128__e655e9c06c.jpg,,see price in store*,
